bin_midpoint_original_scale,ale_centred_m3,bin_count
0.015624999519561228,-50.06649074534657,1207
0.05845196740042069,-46.44774589518788,118
0.11975004687262332,-40.8867789266515,122
0.18886338117918303,-29.456326579849744,121
0.26908316586010406,-8.432433223526502,120
0.36609809235127794,17.173001194198108,120
0.47366113107873453,42.3861531259608,122
0.5816073329430083,79.702303791244,119
0.6972146529059277,127.04873552342174,120
0.8313940204663521,169.77465333958384,120
0.9510808141542998,191.24075403233286,121
