x_orig,pdp
-1.186415871101687e-08,193.67508
0.02564101377670641,192.01935
0.05128203941757159,190.53651
0.07692306505843671,189.18158
0.10256409069930189,187.85515
0.128205116340167,186.60843
0.15384614198103214,185.31755
0.1794871676218973,184.01505
0.20512819326276244,182.67763
0.23076921890362756,181.32872
0.25641024454449274,179.88889
0.28205127018535786,178.33775
0.307692295826223,176.82634
0.33333332146708816,175.29518
0.3589743471079533,173.6459
0.3846153727488184,171.94283
0.41025639838968353,170.20651
0.4358974240305487,168.45786
0.4615384496714138,166.81625
0.487179475312279,165.20412
0.5128205009531441,163.62798
0.5384615265940093,162.17886
0.5641025522348744,160.9804
0.5897435778757396,160.08748
0.6153846035166046,159.27739
0.6410256291574699,158.55275
0.666666654798335,157.76877
0.6923076804392001,156.89417
0.7179487060800652,156.09694
0.7435897317209303,155.29779
0.7692307573617956,154.566
0.7948717830026606,153.85854
0.8205128086435258,153.18204
0.8461538342843908,152.57475
0.8717948599252561,152.05641
0.8974358855661213,151.69366
0.9230769112069863,151.48593
0.9487179368478516,151.44852
0.9743589624887166,151.61658
0.9999999881295818,151.9457
