feature,importance_mean,importance_std
DT,24.15125274658203,0.922212066290861
PD,16.594631958007813,1.7765347994932394
MHI,13.408161163330078,1.6342828220122674
ADS,12.794780731201172,1.280142900634303
DM,11.03188247680664,0.7054317686824152
PR,9.408035278320312,1.535740080705185
DO,7.8817802429199215,0.9597829289266132
SD_NumB,6.800901794433594,1.2435575387116413
ME,3.0648902893066405,0.40791380907297753
RD,2.2218864440917967,1.3604356452540254
dist_to_coast_m,1.2549270629882812,0.32277792687201307
SD,0.715338134765625,0.09760722496180783
WH,0.486981201171875,0.10798602086987547
WV_X,0.4474006652832031,0.39289317335759605
MF,0.2474365234375,0.12007868739041709
VHU,0.24523391723632812,0.1057111665114882
WPF_1,0.09044113159179687,0.09942251992517159
WPF_2,0.052297210693359374,0.100586762011144
WS,0.018000030517578126,0.12073538241977626
WV_Y,0.015930938720703124,1.0586294433068368
OW,-0.1049407958984375,0.8531607952742419
NumHU,-0.3311920166015625,0.08110622590087813
MF_NumB,-0.3347175598144531,0.057855926781659246
WH_NumB,-0.6678390502929688,0.5594077015799248
mean_bldg_size_m2,-0.6845985412597656,0.19192987157998084
NumB,-0.8554435729980469,1.073454972652767
OHU,-1.1162612915039063,0.13826611068592107
NumMH,-2.637471008300781,0.7952016382755882
TAAS,-2.801568603515625,0.09480380080075232
NAS,-6.373332977294922,0.5630777019825073
