bin,n,mean_true,mean_pred,mae,rmse
"[0, 1)",1904,0.0,9.124224662780762,9.124224662780762,72.73038892138726
"[1, 100)",102,52.11311340332031,96.3736343383789,111.14867401123047,183.34022122477654
"[100, 500)",197,287.9573974609375,336.4281005859375,263.73101806640625,347.907202965101
"[500, 1000)",92,692.1272583007812,792.97705078125,589.6104125976562,827.3657368419362
"[1000, 2500)",82,1592.8572998046875,1607.8104248046875,794.0911254882812,985.3436266095194
"[2500, 5000)",25,3273.29833984375,2823.8759765625,946.6434326171875,1075.1390026410538
"[5000, 10000)",8,6268.58544921875,3602.20703125,2666.378662109375,2904.441770805536
"[10000, inf)",0,,,,
