x_orig,pdp
23288.99931084852,82.76026
24949.871054418658,87.07181
26610.742797988794,91.8089
28271.61454155893,96.6762
29932.486285129067,101.49724
31593.358028699204,107.628746
33254.22977226934,114.45362
34915.10151583948,121.6604
36575.97325940961,129.17416
38236.84500297975,137.5149
39897.716746549886,146.49011
41558.588490120026,155.53236
43219.46023369016,164.8728
44880.3319772603,174.21198
46541.20372083043,182.82982
48202.07546440057,190.54161
49862.947207970705,196.77736
51523.818951540845,201.7897
53184.69069511098,205.14821
54845.56243868112,207.63675
56506.43418225125,209.23749
58167.30592582139,209.61812
59828.17766939153,209.29697
61489.04941296166,208.44402
63149.9211565318,207.3299
64810.79290010194,206.04726
66471.66464367208,204.54305
68132.5363872422,202.92764
69793.40813081234,200.87772
71454.27987438248,198.5553
73115.15161795262,196.04663
74776.02336152276,193.31302
76436.89510509289,190.55615
78097.76684866303,187.9982
79758.63859223317,185.38991
81419.5103358033,182.87634
83080.38207937343,180.3304
84741.25382294357,177.87433
86402.12556651371,175.54117
88062.99731008385,173.27914
