x_orig,pdp
2079.5325740482367,218.68205
3147.1277928999625,211.68901
4214.723011751688,204.53209
5282.318230603416,197.2121
6349.913449455142,189.76826
7417.508668306869,182.32088
8485.103887158597,175.00099
9552.699106010323,168.16293
10620.294324862049,161.89795
11687.889543713776,156.20326
12755.484762565502,151.14038
13823.079981417228,146.6748
14890.675200268957,142.80869
15958.270419120683,139.28612
17025.86563797241,136.32402
18093.460856824135,133.826
19161.056075675864,131.7473
20228.65129452759,129.90822
21296.24651337932,128.39125
22363.84173223104,127.31515
23431.43695108277,126.60612
24499.032169934497,126.093765
25566.627388786223,125.82448
26634.22260763795,125.88125
27701.817826489678,126.180954
28769.413045341404,126.901855
29837.00826419313,128.30437
30904.60348304486,130.37704
31972.19870189658,132.97348
33039.79392074831,135.82344
34107.38913960003,138.7118
35174.984358451766,141.61143
36242.57957730349,145.0748
37310.17479615522,148.71686
38377.77001500694,152.40498
39445.36523385867,156.11813
40512.960452710395,159.7977
41580.55567156212,163.43414
42648.150890413846,167.10507
43715.74610926557,170.74663
