bin_midpoint_original_scale,ale_centred_m3,bin_count
0.015624999519561228,-50.066502633233284,1207
0.05845196740042069,-46.44775015368006,118
0.11975004687262332,-40.88677984728358,122
0.18886338117918303,-29.456323685784554,121
0.26908316586010406,-8.432418885369515,120
0.36609809235127794,17.173017439703727,120
0.47366113107873453,42.38616746411779,122
0.5816073329430083,79.70231431470373,119
0.6972146529059277,127.0487422321842,120
0.8313940204663521,169.77467912183263,120
0.9510808141542998,191.2407874439762,121
