feature,importance_mean,importance_std
DT,48.55002899169922,1.292343351064487
DO,29.032740783691406,1.1581065904969094
MHI,21.63266372680664,2.7914587456113242
ADS,16.79129409790039,1.9789738715143856
DM,14.950682067871094,1.539043523359369
PD,14.48656005859375,0.8052857668641971
PR,12.050980377197266,2.4713875518126804
SD_NumB,8.568256378173828,0.8374843493188042
ME,4.910244750976562,0.6083603528740725
OW,3.0318374633789062,0.5772415041216713
WV_X,1.8584724426269532,0.7061816071930686
dist_to_coast_m,1.652520751953125,0.4876306798175171
WV_Y,0.8218368530273438,0.7306706475328486
RD,0.6884666442871094,1.2368159520406394
SD,0.4966949462890625,0.09978713081322899
NumB,0.49004135131835935,1.570440734498513
WH,0.3551971435546875,0.11037380240201138
VHU,0.2135711669921875,0.14276831075619512
MF,0.15505599975585938,0.11456662413864141
WH_NumB,-0.009761810302734375,0.7418545951372648
WS,-0.010549163818359375,0.10812779332450599
WPF_2,-0.07378921508789063,0.0911119291951656
WPF_1,-0.11111297607421874,0.03300361275054229
NumHU,-0.18353729248046874,0.0515002109015979
mean_bldg_size_m2,-0.27217636108398435,0.09111789594130637
MF_NumB,-0.6393409729003906,0.10291052456747057
OHU,-0.6680938720703125,0.16719168081665658
NumMH,-2.327880859375,0.621365678677349
TAAS,-2.7040122985839843,0.18889335443321395
NAS,-6.696099853515625,0.6179530864864039
