bin,n,mean_true,mean_pred,mae,rmse
"[0, 1)",1924,0.0,13.143725395202637,13.143725395202637,88.5897513427414
"[1, 100)",96,48.99483108520508,153.668212890625,161.9836883544922,293.2288994966219
"[100, 500)",195,272.7105712890625,325.7033386230469,277.6211242675781,402.0998204737227
"[500, 1000)",87,707.4711303710938,856.1741333007812,502.80029296875,668.0511769318276
"[1000, 2500)",72,1620.568115234375,1672.95703125,976.2836303710938,1183.0399929841763
"[2500, 5000)",30,3363.574462890625,2331.734619140625,1353.358642578125,1603.1691270729984
"[5000, 10000)",6,6281.84423828125,4149.232421875,2132.611572265625,2251.1600342934307
"[10000, inf)",0,,,,
