x_orig,pdp
1782.4772402425806,231.57967
2861.5674873991957,222.93547
3940.6577345558144,213.88036
5019.747981712431,204.22803
6098.838228869048,194.32895
7177.928476025665,184.29631
8257.01872318228,174.46881
9336.1089703389,164.86147
10415.199217495516,155.87294
11494.289464652133,148.17883
12573.37971180875,141.72044
13652.469958965368,136.36806
14731.560206121985,132.30283
15810.650453278602,129.15309
16889.74070043522,126.84576
17968.830947591836,125.17671
19047.921194748455,124.01901
20127.01144190507,123.16682
21206.10168906169,122.44432
22285.191936218307,121.81938
23364.282183374922,121.19497
24443.372430531537,121.03055
25522.462677688156,121.001686
26601.552924844775,120.85802
27680.64317200139,121.111786
28759.73341915801,122.25204
29838.823666314624,124.08858
30917.91391347124,125.7988
31997.00416062786,128.06596
33076.094407784476,130.5737
34155.1846549411,132.9063
35234.27490209771,135.13841
36313.36514925433,137.19862
37392.455396410944,139.14922
38471.54564356756,140.98442
39550.63589072418,142.93268
40629.72613788079,145.19267
41708.81638503741,147.7447
42787.90663219403,150.4272
43866.99687935065,153.04626
