group,n_features,importance_mean,importance_std
Built environment,5,47.73563079833984,1.8212012910122068
Natural environment,8,40.78822631835938,2.779154586752381
Human / socioeconomic,6,34.674024963378905,2.12059310921342
Multi-hazard intensity,8,5.9060821533203125,1.2079351455788032
