feature,importance_mean,importance_std
DM,21.99645233154297,1.058121956162974
ADS,19.14947509765625,2.009060128320467
DT,17.171414947509767,1.6356937800014668
PD,17.027374267578125,1.6469534136412562
MHI,15.57920150756836,1.6780686136908851
PR,14.525316619873047,1.3826220587976288
DO,12.090516662597656,1.17460759555124
SD_NumB,11.96712646484375,0.9975628236215551
RD,8.686924743652344,1.2161104257203637
ME,3.9097030639648436,0.5697293607646668
NumB,3.648035430908203,1.1019166360151575
dist_to_coast_m,3.1384933471679686,0.5932492500749185
WV_Y,2.7465309143066405,1.2008813850544553
WV_X,2.4324600219726564,1.0905967901166833
OW,1.5364044189453125,0.8395260803488298
WH_NumB,0.9168792724609375,0.6039311831723012
SD,0.5742568969726562,0.18870952827264603
WH,0.32555999755859377,0.12907135943062703
mean_bldg_size_m2,0.16718368530273436,0.09795170985077246
VHU,0.13280868530273438,0.05820638296770509
MF,0.08898162841796875,0.05407473588905079
WPF_2,0.008522796630859374,0.055403599084057606
WS,-0.023430633544921874,0.06950677946485015
WPF_1,-0.02683258056640625,0.05009706068800346
NumHU,-0.15873489379882813,0.07646646913920808
MF_NumB,-0.24992904663085938,0.05879576439792071
OHU,-0.51131591796875,0.11767619916438055
TAAS,-1.5951919555664062,0.16611269788034122
NumMH,-1.775885009765625,1.080783329028131
NAS,-4.0449066162109375,0.4236620101467398
