bin,n,mean_true,mean_pred,mae,rmse
"[0, 1)",1938,0.0,8.252070426940918,8.252070426940918,75.46328590467851
"[1, 100)",89,45.78310012817383,80.36280059814453,98.51948547363281,165.8131066234663
"[100, 500)",173,271.2483825683594,341.1365051269531,264.2320861816406,395.8505281353051
"[500, 1000)",87,718.4852294921875,784.386474609375,542.2022094726562,804.8931606120157
"[1000, 2500)",79,1575.8822021484375,1719.6163330078125,871.1641845703125,1088.5389290236708
"[2500, 5000)",34,3375.666259765625,2341.669189453125,1374.931640625,1684.2487197560815
"[5000, 10000)",10,6144.88427734375,3094.573486328125,3050.31103515625,3506.1949460918454
"[10000, inf)",0,,,,
