x_orig,pdp
1955.2384184570801,217.37236
3008.2858288341013,209.42099
4061.333239211126,201.70844
5114.380649588149,193.94168
6167.428059965168,186.10039
7220.475470342191,178.42508
8273.522880719214,170.67142
9326.570291096235,162.90114
10379.617701473258,155.48856
11432.665111850281,148.60376
12485.712522227303,142.46324
13538.759932604326,137.1761
14591.807342981348,132.58463
15644.85475335837,128.90254
16697.90216373539,125.94141
17750.949574112412,123.64912
18803.996984489437,121.75415
19857.044394866458,120.177155
20910.091805243483,118.95223
21963.139215620504,117.91433
23016.186625997525,117.111176
24069.234036374546,116.47985
25122.28144675157,116.02469
26175.328857128592,115.90948
27228.376267505617,116.362526
28281.423677882638,116.99183
29334.471088259663,117.58413
30387.51849863668,118.16477
31440.5659090137,118.86004
32493.61331939073,119.61595
33546.66072976775,120.374115
34599.70814014477,121.11677
35652.75555052179,121.717606
36705.802960898814,122.31198
37758.85037127584,122.6208
38811.897781652864,122.65756
39864.94519202989,122.54699
40917.99260240691,122.355354
41971.040012783924,122.245865
43024.08742316095,122.0334
