bin,n,mean_true,mean_pred,mae,rmse
"[0, 1)",1933,0.0,12.066046714782715,12.066046714782715,78.36614969467844
"[1, 100)",89,51.780120849609375,149.0657196044922,148.84930419921875,274.82827024343766
"[100, 500)",198,278.1972351074219,375.55047607421875,281.33746337890625,399.0154680585704
"[500, 1000)",81,703.2999877929688,861.3742065429688,482.66912841796875,708.9082936106757
"[1000, 2500)",75,1566.27783203125,1337.3682861328125,900.4814453125,1087.4301701718598
"[2500, 5000)",26,3407.11083984375,2039.5438232421875,1730.8399658203125,1986.6411351826982
"[5000, 10000)",8,6486.4931640625,2744.8427734375,3741.650634765625,4021.276041258546
"[10000, inf)",0,,,,
