x_orig,pdp
23289.000813787607,86.85675
24855.641784899013,90.61642
26422.28275601042,94.81519
27988.923727121823,99.44869
29555.56469823323,104.59187
31122.205669344636,110.24488
32688.846640456046,116.469475
34255.48761156745,123.101715
35822.12858267885,130.07037
37388.76955379026,137.12822
38955.410524901665,144.30951
40522.05149601307,151.04335
42088.69246712448,157.33241
43655.33343823589,163.28525
45221.97440934729,168.94661
46788.615380458694,174.47151
48355.256351570104,179.69199
49921.89732268151,184.34406
51488.53829379292,188.29951
53055.17926490432,191.69518
54621.82023601572,194.12706
56188.46120712713,195.58557
57755.102178238536,196.50798
59321.743149349946,196.84111
60888.384120461356,196.38342
62455.02509157276,195.6195
64021.66606268416,194.67468
65588.30703379557,193.4706
67154.94800490697,191.98416
68721.58897601838,190.33664
70288.22994712979,188.549
71854.87091824118,186.58861
73421.5118893526,184.516
74988.152860464,182.27461
76554.79383157541,179.93135
78121.43480268682,177.50963
79688.07577379822,175.03104
81254.71674490963,172.59035
82821.35771602104,170.14839
84387.99868713244,167.71466
