x_orig,pdp
2.4657524910765005e-09,192.26237
0.025641027580309173,192.12639
0.051282052694865854,191.94324
0.07692307780942254,191.69533
0.10256410292397922,191.38762
0.1282051280385359,190.96379
0.15384615315309258,190.50227
0.1794871782676493,190.05705
0.20512820338220594,189.53304
0.23076922849676262,188.95393
0.2564102536113193,188.35547
0.28205127872587604,187.73778
0.30769230384043267,187.08421
0.33333332895498935,186.3122
0.3589743540695461,185.53802
0.38461537918410277,184.73299
0.4102564042986594,183.8703
0.43589742941321613,182.99359
0.46153845452777276,182.05075
0.4871794796423295,181.00945
0.5128205047568861,179.86343
0.5384615298714428,178.64641
0.5641025549859996,177.38916
0.5897435801005562,176.0848
0.6153846052151128,174.77863
0.6410256303296696,173.39745
0.6666666554442262,171.95293
0.6923076805587829,170.44604
0.7179487056733397,168.92395
0.7435897307878963,167.35516
0.769230755902453,165.76167
0.7948717810170096,164.23146
0.8205128061315663,162.76869
0.846153831246123,161.33006
0.8717948563606799,159.838
0.8974358814752363,158.38448
0.923076906589793,156.98936
0.9487179317043497,155.59308
0.9743589568189066,154.22173
0.9999999819334633,152.89935
