x_orig,pdp
52.95872574372015,109.716896
134.81629628320184,111.33278
216.67386682268358,112.97878
298.53143736216543,114.65288
380.3890079016472,116.378296
462.2465784411289,118.14222
544.1041489806107,119.937996
625.9617195200925,121.75647
707.8192900595742,123.60426
789.676860599056,125.48213
871.5344311385377,127.39207
953.3920016780196,129.3661
1035.2495722175013,131.42026
1117.1071427569832,133.55392
1198.9647132964649,135.75423
1280.8222838359466,138.02429
1362.6798543754285,140.39767
1444.53742491491,142.84747
1526.3949954543918,145.462
1608.2525659938738,148.26222
1690.1101365333552,151.25938
1771.9677070728371,154.4506
1853.825277612319,157.85446
1935.6828481518005,161.46576
2017.5404186912829,165.27649
2099.3979892307643,169.33003
2181.2555597702462,173.61992
2263.1131303097277,178.22443
2344.9707008492096,183.14398
2426.8282713886915,188.44197
2508.685841928173,194.07967
2590.543412467655,200.054
2672.400983007137,206.31165
2754.2585535466183,212.82782
2836.1161240861,219.63782
2917.9736946255816,226.71901
2999.831265165064,234.25627
3081.688835704546,242.31873
3163.5464062440274,250.88968
3245.4039767835093,259.8527
