storm,year,orig_mean_CL,orig_sem,v7d_mean_CL,v7d_sem,abs_change,rel_change_pct,orig_n_tracts,v7d_n_tracts
ike,2020,0.049557943,0.0013289815719171353,0.09185893,0.0013074493616339073,0.042300988,85.35662889480591,100,100
ike,2030,0.055910844,0.0014432766460209217,0.09818517,0.0013525799649970057,0.042274322,75.61023831367493,100,100
ike,2040,0.06283098,0.0015265821638145512,0.10761104,0.0013686463132460643,0.04478006,71.27067446708679,100,100
fema33,2020,0.02244112,0.0007136211558860582,0.10194528,0.0012884670104063843,0.07950416,354.27892208099365,100,100
fema33,2030,0.028468013,0.000842021355517826,0.105700575,0.0013337738485877182,0.07723256,271.2959289550781,100,100
fema33,2040,0.037547078,0.0009468515991418725,0.1134442,0.0013785337226907984,0.07589713,202.1385669708252,100,100
fema36,2020,0.09664636,0.0007910864576944056,0.16624022,0.0013796944457282812,0.069593854,72.00877070426941,100,100
fema36,2030,0.10235873,0.0008280511190132765,0.17408669,0.00131659142502585,0.07172796,70.07508277893066,100,100
fema36,2040,0.10886193,0.0008836514451737508,0.18119022,0.0012657390802712427,0.07232829,66.44039154052734,100,100
