scenario_label,storm,display_year,is_training_data,v2_total_m3,gt_total_m3,paper_total_m3,delta_vs_paper_m3,delta_vs_paper_pct
"Ike (training-time, 2008)",ike,2008,True,1811186.5,1933929.2796339141,,,
Hurricane Ike (2020),ike,2020,False,2230090.75,1933929.2796339141,1695090.0,535000.75,31.561790229427356
Hurricane Ike (2030),ike,2030,False,2321723.0,,1802706.0,519017.0,28.790995314821167
Hurricane Ike (2040),ike,2040,False,2407000.0,,1901761.0,505239.0,26.566902991490515
FEMA33 (2020),fema33,2020,False,2673209.75,,968645.0,1704564.75,175.97414429434934
FEMA33 (2030),fema33,2030,False,2751100.0,,1126164.0,1624936.0,144.28946405674483
FEMA33 (2040),fema33,2040,False,2833070.0,,1325042.0,1508028.0,113.8098264055026
FEMA36 (2020),fema36,2020,False,4805735.0,,2786767.0,2018968.0,72.4483962957793
FEMA36 (2030),fema36,2030,False,5024670.0,,3096080.0,1928590.0,62.29134906074778
FEMA36 (2040),fema36,2040,False,5199771.5,,3394111.0,1805660.5,53.199806959760586
