scenario_label,storm,display_year,is_training_data,v2_total_m3,gt_total_m3,paper_total_m3,delta_vs_paper_m3,delta_vs_paper_pct
"Ike (training-time, 2008)",ike,2008,True,1809592.125,1933929.2796339141,,,
Hurricane Ike (2020),ike,2020,False,2163514.0,1933929.2796339141,1695090.0,468424.0,27.63416691739082
Hurricane Ike (2030),ike,2030,False,2263023.0,,1802706.0,460317.0,25.534779381662908
Hurricane Ike (2040),ike,2040,False,2278331.0,,1901761.0,376570.0,19.801121171377467
FEMA33 (2020),fema33,2020,False,2523692.0,,968645.0,1555047.0,160.5383809341916
FEMA33 (2030),fema33,2030,False,2588615.75,,1126164.0,1462451.75,129.8613479031473
FEMA33 (2040),fema33,2040,False,2593375.5,,1325042.0,1268333.5,95.72024886758305
FEMA36 (2020),fema36,2020,False,4169566.25,,2786767.0,1382799.25,49.6201960910259
FEMA36 (2030),fema36,2030,False,4318841.0,,3096080.0,1222761.0,39.493843828324856
FEMA36 (2040),fema36,2040,False,4347514.5,,3394111.0,953403.5,28.089932827771392
